000002.SZ,000001.SZ
0.060557153,0.1297639
0.08069453,0.21901387
0.081624106,0.21664733
0.079437435,0.14614588
0.07043941,0.06961207
0.062040273,0.11208055
0.06604755,0.056699883
0.067249715,-0.0058601443
0.05987667,-0.013910629
0.05063859,0.01810289
0.05075812,0.053254846
0.05207063,0.03746634
0.05728103,0.0056914296
0.053029533,-0.038547873
0.059567545,-0.025368407
0.0656884,-0.004716184
0.060933683,0.0978
0.059160385,0.17177674
0.053479914,0.2038196
0.070532575,0.22644371
0.10023475,0.16887686
0.09902705,0.1068941
0.087164715,0.07107569
0.077251375,0.062145814
0.07204786,0.15206051
0.06953615,0.12386481
0.0646373,0.1266115
0.063060924,0.08626652
0.05795097,0.041082233
0.057786282,0.064406246
0.059319053,0.025300318
0.051947866,-0.02406815
0.047906216,-0.03707442
0.047754835,-0.039629273
0.04666135,-0.03725772
0.053786892,-0.05388204
0.054643225,-0.054070048
0.0646534,-0.06389335
0.062287968,-0.10136083
0.060246196,-0.044658564
0.052693065,-0.02567831
0.05485856,0.026144829
0.054300766,0.17195639
0.050411005,0.1285003
0.043351505,0.073187545
0.040028345,0.036100358
0.03768793,-0.013914075
0.035431918,-0.056703277
0.03588998,-0.038897183
0.03423289,-0.04328192
0.031551044,-0.0622833
0.036307316,-0.08256251
0.03567313,-0.10647247
0.04099336,-0.13632199
0.044624295,-0.119628005
0.049618017,-0.11940969
0.054655697,-0.12604871
0.05560058,-0.12572256
0.072209,-0.10392175
0.08054271,-0.11643507
0.08080597,-0.14218232
0.07627712,-0.15782312
0.13267861,-0.15625814
0.14293505,-0.16774184
0.1562349,-0.15721995
0.14475174,-0.13524649
0.12547968,-0.108099185
0.10384157,-0.070002615
0.087563604,-0.06871595
0.07780829,-0.049387574
0.07725735,-0.064880975
0.067777485,-0.095705934
0.06782915,-0.121011086
0.06695226,-0.07813652
0.06147025,-0.06775837
0.05203129,-0.078067325
0.044118535,-0.0897051
0.03997847,-0.08026629
0.03497744,-0.09018764
0.054021653,-0.08527116
0.05339643,-0.055595964
0.049982052,-0.037473004
0.04198764,-0.052553535
0.03555614,-0.07484149
0.030767392,-0.087905906
0.027466398,-0.10810826
0.023452412,-0.08454027
0.02587812,-0.06325127
0.028804716,-0.0747206
0.029350039,-0.07588095
0.031704273,-0.089807644
0.033052143,-0.093412
0.037457753,-0.08918091
0.038798284,-0.071756385
0.03999224,-0.098212756
0.037129734,-0.12909189
0.05168779,-0.12529257
0.051524717,-0.05643841
0.04497457,-0.051847443
0.071030274,-0.025135323
0.07595983,-0.07227222
0.08866982,-0.09782681
0.103256,-0.124044426
0.117112726,-0.1269615
0.10594526,-0.05786012
0.08852789,-0.04849747
0.078006625,-0.036057156
0.06991701,-0.021026008
0.078963995,-0.027545005
0.08513808,-0.04769864
0.08579612,-0.0464677
0.08166002,-0.07579409
0.078714535,-0.11267009
0.07019648,-0.13898903
0.08657797,-0.16404027
0.083986,-0.18946889
0.07631625,-0.18287218
0.07314737,-0.16544926
0.065936774,-0.14237091
0.062132698,-0.12701681
0.056838293,-0.13849357
0.056268495,-0.12935194
0.053075302,-0.13386199
0.05207919,-0.13082293
0.06422031,-0.10775597
0.07339081,-0.10156084
0.069324926,-0.07124192
0.063493416,-0.08424587
0.057346556,-0.08711393
