kdcode,dt,close,open,high,low,turnover,volume,OT
600028.SH,2021-01-04,-0.662796850190679,-0.6641543212051445,-0.6614223426008773,-0.6614787250071112,-0.6474387932978515,0.563478988092316,-0.5303679198895651
600028.SH,2021-01-05,-0.6621893668492284,-0.6640831631063179,-0.663055712114401,-0.6605065355711346,-0.705361617120656,0.4511296338770607,-0.4781899070963098
600028.SH,2021-01-06,-0.6619185274071948,-0.6627308130473828,-0.6629490358920832,-0.6603149059030935,-0.5012874758327024,1.6633269257673062,0.5988174179281
600028.SH,2021-01-07,-0.6617916746964974,-0.6620768462477303,-0.6660102385928511,-0.6607992069852537,-0.521765578450051,1.3526914852349803,-0.3325590718259683
600028.SH,2021-01-08,-0.6666168468892919,-0.6617137228989726,-0.6653240007404352,-0.6627860530789169,-0.46727819354838457,1.6307876227259308,0.5850774643908693
600028.SH,2021-01-11,-0.6634015642831059,-0.6678135304262838,-0.6654160208126081,-0.6649870178518358,-0.4186681816243805,1.982873713857976,-0.5116275464751364
600028.SH,2021-01-12,-0.6628372265569529,-0.6648175404902714,-0.6646372513507626,-0.6632569853713147,-0.55623317470294,0.8808619207431341,-0.009376604066440166
600028.SH,2021-01-13,-0.6659842644808457,-0.6642051702699632,-0.6685872755034267,-0.6653702018495965,-0.4498550004588834,1.3408574495893395,0.4882258052234692
600028.SH,2021-01-14,-0.6694220684848468,-0.6658499305425998,-0.6685543711614794,-0.6669781524826659,-0.48760505608031895,1.134690858774306,0.4416829263990337
600028.SH,2021-01-15,-0.667283385617847,-0.6698598122965896,-0.6701324624088929,-0.6689912750604313,-0.5189527432558081,0.8545989996797035,0.14221651945140817
600028.SH,2021-01-18,-0.6692824468465963,-0.6685291071911758,-0.6676792677611109,-0.6688414451982484,-0.4051327605203678,1.548357301137064,-1.0726363971445758
600028.SH,2021-01-19,-0.675535820582873,-0.6699837562122607,-0.6731002056520343,-0.6730208163942264,-0.4893401397274035,1.262654486934481,0.5382157874546305
600028.SH,2021-01-20,-0.670156452532952,-0.6745168102037193,-0.6718582920525275,-0.6750900247766276,-0.5858456647967797,0.813670677818591,-0.4738221682106178
600028.SH,2021-01-21,-0.6700425516161039,-0.6710518232675552,-0.671152480651202,-0.6683709710436144,-0.633212984870073,0.5268546861232836,-0.5658711357374735
600028.SH,2021-01-22,-0.6652806646344184,-0.6714559352398513,-0.6679772777143443,-0.6690252456452734,-0.6067646692498504,0.9574952599707651,-0.6543523933756179
600028.SH,2021-01-25,-0.657968925894752,-0.6647145106633545,-0.6610687058169576,-0.6594864996413462,-0.5585692541373537,1.1560856909314106,-0.5038507739849181
600028.SH,2021-01-26,-0.665768227142952,-0.6576880270031247,-0.6622748120416769,-0.6625380267129862,-0.6463604068018031,0.6069911571879669,0.525882995337746
600028.SH,2021-01-27,-0.6706326278167833,-0.6658679808661706,-0.6687818968045913,-0.6682429829859181,-0.6141866596371256,0.7797207340310341,-0.11024236147433733
600028.SH,2021-01-28,-0.6695406541218573,-0.6707596675901166,-0.671008297514209,-0.6686957384143893,-0.5138547724682839,1.3325022558338477,0.6128324624853194
