kdcode,dt,close,open,high,low,turnover,volume,OT
600489.SH,2021-01-04,-0.5956213318741314,-0.5966330208502052,-0.5951346952610196,-0.592913328982699,-0.6507715632150309,-0.1836836503419149,0.20875241700419034
600489.SH,2021-01-05,-0.5962425189321994,-0.5953874227719212,-0.5973520618022418,-0.5928776128183653,-0.6805435218651036,-0.17455030680061068,-0.2834648450271382
600489.SH,2021-01-06,-0.5982785103977989,-0.597417479601682,-0.5991276359225619,-0.5953662832839676,-0.7365529634531388,-0.27629924567994235,-0.6623423675537499
600489.SH,2021-01-07,-0.5988783674051233,-0.5996004157611979,-0.6033464422840776,-0.5974495251161456,-0.7047438492970145,-0.2245450646285229,-0.27318501687394325
600489.SH,2021-01-08,-0.6053505749754999,-0.5997614216269417,-0.604667547625653,-0.6003342988873472,-0.6890580435370437,-0.27981977980393247,-0.6926762692503245
600489.SH,2021-01-11,-0.6068803065889522,-0.6097183870599048,-0.6092575613199737,-0.6071430231099776,-0.6195073221169903,0.003539592584241267,-1.2519810965264795
600489.SH,2021-01-12,-0.6077539059469136,-0.6083829324738504,-0.6099972538013094,-0.6062169880768966,-0.7374904295056159,-0.38950546959119636,-0.4806289453008796
600489.SH,2021-01-13,-0.6113883976530147,-0.6096487449854551,-0.6146276878523846,-0.6090057620833242,-0.7707762245170011,-0.4410797208143458,-0.17381882660554987
600489.SH,2021-01-14,-0.6130357488026347,-0.6108350513233448,-0.6143165064665759,-0.6103223157205986,-0.7850229561107316,-0.45772246220481794,0.4774079814734081
600489.SH,2021-01-15,-0.6100765311709654,-0.6131571729569435,-0.6141313026319105,-0.6102957914374664,-0.740282514877444,-0.40579010264912635,0.37853821523472825
600489.SH,2021-01-18,-0.6120258813158953,-0.6117846178596014,-0.6118059492129461,-0.6105576794408543,-0.7685465432302939,-0.3880384172609308,-0.4004343969476656
600489.SH,2021-01-19,-0.6167187624853274,-0.6124284620453793,-0.6164982592145769,-0.6141968571318533,-0.7888769679240979,-0.46202400750951844,0.3702779718024076
600489.SH,2021-01-20,-0.613355895646169,-0.6166513272195012,-0.6160946036394582,-0.6159700000568142,-0.761896576397932,-0.4173996052628622,-0.43291228881110105
600489.SH,2021-01-21,-0.6133624815456102,-0.6135399960644148,-0.6149272568918898,-0.6109475397333081,-0.7183120087229556,-0.30786908856398687,-0.1744706554487094
600489.SH,2021-01-22,-0.6111465002784209,-0.6149734009709322,-0.6137379115298277,-0.6128353180199344,-0.7706248117794859,-0.40865587292104316,-0.6735293322369533
600489.SH,2021-01-25,-0.6075030247445927,-0.6112427136348099,-0.6097909280622609,-0.60717474374155,-0.6653737763855355,-0.21304827238953522,-1.007928662585317
600489.SH,2021-01-26,-0.6086066478581283,-0.6076542967552795,-0.6052979912519496,-0.6108930868645367,-0.5585871651890396,0.164308646030329,2.075481434532788
600489.SH,2021-01-27,-0.6155924420656703,-0.6101652097651451,-0.613961795079973,-0.6123310780232701,-0.694105982937526,-0.256241135010255,-1.147745564846607
600489.SH,2021-01-28,-0.6122912181016666,-0.6154176028359294,-0.6137213085282012,-0.6124663902290863,-0.686948346779066,-0.2867037236530622,1.02946173708268
600489.SH,2021-01-29,-0.602897378753933,-0.6102426836907177,-0.6071150244206504,-0.6020170373649697,-0.6035330120796027,-0.12466294193597095,0.9638223569469527
600489.SH,2021-02-01,-0.6002064863491037,-0.5998653312185561,-0.6008018796118583,-0.5976039323230046,-0.5931722480330077,-0.008654204584111987,0.2961032250372781
600489.SH,2021-02-02,-0.6020295138882841,-0.6027319023480124,-0.6025903055396954,-0.601779888820972,-0.6571184577729756,-0.16739038210399576,-1.6265369639975007
600489.SH,2021-02-03,-0.5930561709459964,-0.6035920875533426,-0.5986876584734327,-0.5972180611420258,-0.6965577434225397,-0.34309320589308906,-0.3372040911506658
600489.SH,2021-02-04,-0.5939331382131686,-0.5924748306766338,-0.5931442888190434,-0.5939928438361064,-0.6674214638588488,-0.18620636399199517,-0.9120572428834145
600489.SH,2021-02-05,-0.5902176759271283,-0.5963608860757343,-0.5952185534775282,-0.5912572580445257,-0.7159958219845997,-0.35076751344747503,-0.3778715325491622
600489.SH,2021-02-08,-0.5888750580388192,-0.5892469558411783,-0.5887742699970816,-0.586798172782237,-0.7466366812187828,-0.40021442435411114,0.28620632222084313
600489.SH,2021-02-09,-0.5885116159392046,-0.5864256018220851,-0.5904487184003774,-0.5863644575100642,-0.7596588312712148,-0.4110937391086699,-0.19057200935819305
600489.SH,2021-02-10,-0.5852815802217927,-0.5891544161129443,-0.5869800121945424,-0.5880797753048561,-0.7295890569861867,-0.39158546611111084,0.014613168816735904
600489.SH,2021-02-18,-0.5900599368759838,-0.5884807624941952,-0.5880239967303597,-0.5885897956282131,-0.6627093532534103,-0.14160634331993652,0.6029852773157899
600489.SH,2021-02-19,-0.5897910026892141,-0.5904255228848747,-0.590712295557669,-0.5912184573297856,-0.6211796461430624,-0.06063920414236979,0.45177359488817825
600489.SH,2021-02-22,-0.5888567417037857,-0.585856223924839,-0.5872106736407257,-0.5916440384559594,-0.28863196221626936,0.4536395019039739,2.7048141049952226
600489.SH,2021-02-23,-0.5785687366120368,-0.5892577054189237,-0.5798182461765096,-0.5852358394219596,0.5019278287450673,1.508387362898264,2.8025948409720076
600489.SH,2021-02-24,-0.5839392518551104,-0.5777561490452182,-0.5777966694146676,-0.5845929661995476,0.14263328661571945,1.2907972173282094,0.46547702553504444
600489.SH,2021-02-25,-0.5861607391641158,-0.5798690789201316,-0.5815249852386812,-0.585089763629421,-0.1279607311025929,0.5094731284594907,-0.6664565497372271
600489.SH,2021-02-26,-0.5904511590192165,-0.5888840717587882,-0.5888706171812353,-0.5892337793306437,-0.31706901010598326,0.357780541126352,-1.113733321884713
600489.SH,2021-03-01,-0.5908207516522826,-0.5888714604915718,-0.5894218474036874,-0.589993902671959,-0.3764523206907199,0.31187708064468334,-0.16385877479238398
600489.SH,2021-03-02,-0.5993244266235271,-0.5917169537570682,-0.5947748806504742,-0.5989989517082303,-0.42297739756003966,0.22083873007418645,-0.9926876340648884
600489.SH,2021-03-03,-0.5976969338974474,-0.598402760331689,-0.5977805430564522,-0.5987170446813788,-0.5125677852658695,-0.01457802610383354,-0.5783697579285013
600489.SH,2021-03-04,-0.6015852441471232,-0.5997275677281556,-0.6013619178954233,-0.6002870756097406,-0.526081903356617,-0.01736229375901969,0.19043351007481213
600489.SH,2021-03-05,-0.6001656207364467,-0.6030630247397055,-0.6005525232463309,-0.6009719801952089,-0.5465923671414377,-0.04799451844675382,-0.1279381609802366
600489.SH,2021-03-08,-0.6064577951020307,-0.5997919292124021,-0.6010202194485404,-0.6056434180509064,-0.561739605605572,-0.07567317061992392,0.3797984870864439
600489.SH,2021-03-09,-0.6053140695899983,-0.6066207667028464,-0.6061628458010612,-0.6029672114839767,-0.6249691667689931,-0.1872693831965142,-0.282850803214002
600489.SH,2021-03-10,-0.5975146359431449,-0.6017318353018023,-0.600711009493665,-0.5986331194536711,-0.6043338740213807,-0.12703207396550217,-0.1986966867005123
600489.SH,2021-03-11,-0.5894368683603827,-0.5987303763152338,-0.5886242058090692,-0.5969890994932022,-0.48387715356571037,0.05097686418540694,0.6553814328900062
600489.SH,2021-03-12,-0.5913239303276348,-0.5917708559917145,-0.592011713127214,-0.5928916814177289,-0.5930693836543168,-0.14661865051428977,-1.030442066376095
600489.SH,2021-03-15,-0.5952891571526316,-0.5900831166228053,-0.5908520309066408,-0.597989688502138,-0.5556144018456056,-0.0854010292838173,0.7998176959958918
600489.SH,2021-03-16,-0.5910832282639217,-0.5964712534735007,-0.5932172518128063,-0.5958218152844742,-0.655510506753877,-0.2316494266778282,-0.19081634123988117
600489.SH,2021-03-17,-0.593791306046757,-0.5937695550318648,-0.5943710693606804,-0.5946354125535882,-0.6193074610116562,-0.20698777132577875,-0.3891798211994482
600489.SH,2021-03-18,-0.5887099906197967,-0.5906190613445095,-0.5878671279952755,-0.5885602610944918,-0.425210799049349,0.22867356424638713,0.5860997356947589
