kdcode,dt,close,open,high,low,turnover,volume,OT
300433.SZ,2021-01-04,-0.31978419896292865,-0.3143794329554025,-0.32108340206705693,-0.3087419403035265,-0.046290016218469676,-0.17174414120261744,-0.28360169218212317
300433.SZ,2021-01-05,-0.28500458649984484,-0.32036084168596574,-0.2872875694043685,-0.3142637313047596,1.3490537490732648,0.6992702542181858,2.8540628389858997
300433.SZ,2021-01-06,-0.2794683326425581,-0.2865368182866285,-0.28850389587376846,-0.2819981478830831,1.0777568941236668,0.5139216844305721,0.3296537479696585
300433.SZ,2021-01-07,-0.2835932679256889,-0.27814498609632055,-0.2883949259587348,-0.2779796869742793,0.5792149047790944,0.13715962865957781,-0.23607837572135693
300433.SZ,2021-01-08,-0.2918533240600448,-0.26770004235038725,-0.2675516332048536,-0.28705923843596975,1.0191104105488014,0.5510197662774905,-0.8062132745012147
300433.SZ,2021-01-11,-0.25449118718696756,-0.28556841438904373,-0.26700868419922563,-0.2806541489028303,1.3914790507886674,0.6940529915124682,2.3875922146493602
300433.SZ,2021-01-12,-0.26045363647245545,-0.2522551033455066,-0.26407967040249525,-0.2568640953358789,0.887936158207419,0.2951453238993946,-0.4451108060292081
300433.SZ,2021-01-13,-0.23167756196687733,-0.25354339819248534,-0.23450512671845344,-0.23808227677614852,1.5973870400074293,0.5318709086950769,1.7302600459588684
300433.SZ,2021-01-14,-0.21681974073415333,-0.2286657337069525,-0.22908484396437104,-0.22564284309569554,1.3738002725803746,0.3871700694981132,0.7393396657980209
300433.SZ,2021-01-15,-0.2433566329647702,-0.22181171305478722,-0.23005252621480035,-0.23925774170132458,1.3388667493455462,0.3949683073216064,-1.8092732945628336
300433.SZ,2021-01-18,-0.21883166462540127,-0.23904652472980328,-0.2159223956109454,-0.22907785021337082,1.5832793573117017,0.46918715285452794,1.8027340798374396
300433.SZ,2021-01-19,-0.23241666794350496,-0.22365277368253267,-0.22964338511954518,-0.22723681180198715,0.8902170918900149,0.1860473830411589,-1.085427592515845
300433.SZ,2021-01-20,-0.2403064220763622,-0.23276654785220074,-0.23394162217707012,-0.2289921181384274,0.544999158757481,0.06925317325601334,-0.27110441062496404
300433.SZ,2021-01-21,-0.23536170954191563,-0.23015445497023254,-0.23993572835090624,-0.23536705486901113,0.8046367628194434,0.19589941472602032,0.5090708213446519
300433.SZ,2021-01-22,-0.28279215320088363,-0.23578010332445537,-0.24896603141160795,-0.29115925124866376,3.1286241665719134,1.8777170447708416,-2.7083735055056337
300433.SZ,2021-01-25,-0.29503154527279446,-0.2931038724344676,-0.29096276653574565,-0.29627179291144745,1.0535858683545893,0.7616914352348729,-0.8181506276799048
300433.SZ,2021-01-26,-0.2933706806833893,-0.287843997265506,-0.2938455958177809,-0.29432083805491666,0.6759102194396283,0.36123690580256324,0.13084150247371493
300433.SZ,2021-01-27,-0.2946626040165012,-0.28805935542975114,-0.2879515773444269,-0.28743411586314566,0.5401307344607537,0.21466364691695136,-0.15220347847070845
300433.SZ,2021-01-28,-0.30596958274126795,-0.29441327269059236,-0.29595790714702347,-0.3036918622981852,0.9698745284499276,0.5508581698736629,-1.1214283115102177
300433.SZ,2021-01-29,-0.29721396333897626,-0.30087023371631244,-0.3076272374354901,-0.29836009360853816,0.33595926645315216,0.08381660793709605,0.7029556584219392
300433.SZ,2021-02-01,-0.3074174518584101,-0.2956776294647648,-0.306748990325112,-0.2994416781761069,0.19992128658782932,-0.03372187337220792,-0.8405810892731652
