kdcode,dt,close,open,high,low,turnover,volume,OT
600196.SH,2021-01-04,-0.04067186009816194,-0.02252470384490567,-0.04980584972333572,-0.024800831342404184,0.5467003827488375,-0.17221991921170884,-1.0224503951177768
600196.SH,2021-01-05,-0.06111221311838904,-0.04336036162391714,-0.06361575297521155,-0.041993021713181485,0.2748655182182877,-0.2795671772887847,-0.6053551573158842
600196.SH,2021-01-06,-0.04700359597898313,-0.05847788370149507,-0.06197254843743087,-0.0458546593636535,0.7592762610187443,-0.0818330352693718,0.6206460234253174
600196.SH,2021-01-07,-0.07629944605871825,-0.04882421625080759,-0.06820184369295311,-0.05330801013279253,0.33165238249862783,-0.26590182360828807,-1.261093733249198
600196.SH,2021-01-08,-0.06829108245862908,-0.07870385921272209,-0.08572638436973878,-0.05828929060846535,-0.12732872882957713,-0.44129871608212046,0.09815333050535976
600196.SH,2021-01-11,-0.0907730829736611,-0.07042324623361026,-0.08910271389186236,-0.07775002838244566,0.40698394734800764,-0.18646332443751187,-0.8237316104347303
600196.SH,2021-01-12,-0.0942979999666038,-0.08682783580035643,-0.09806684502114246,-0.07645620659712953,-0.1145543490644578,-0.40266611614083736,-0.16755205600652315
600196.SH,2021-01-13,-0.10063982474266757,-0.09283442830099028,-0.10770514038792287,-0.0890144997527975,-0.0664419611987858,-0.38604600798692307,-0.5010111811115402
600196.SH,2021-01-14,-0.10111703319227372,-0.09649586962802441,-0.10668628695868355,-0.0913726410483579,-0.03167762248698168,-0.3710755018005104,-0.22295630061804803
600196.SH,2021-01-15,-0.08694388185026618,-0.0954852428092842,-0.10133953666080019,-0.08327752136944733,-0.19138949257989987,-0.4313702019954631,0.7326682830302529
600196.SH,2021-01-18,-0.09586113218448737,-0.0858594880327082,-0.09984313053522086,-0.08256385660214241,-0.15544057520357882,-0.41126242709541466,-0.355402302908845
600196.SH,2021-01-19,-0.08805280209064663,-0.09592104180247325,-0.10660111515246469,-0.08485899909473148,-0.20101788559423225,-0.44625408468732003,0.18039505105611345
600196.SH,2021-01-20,-0.10108444742736927,-0.08954371542991556,-0.10352906444749613,-0.0849724282416197,-0.039731843651680074,-0.358291798535441,-0.3118719429131459
600196.SH,2021-01-21,-0.10724835266702938,-0.09448917985800413,-0.1074542764726995,-0.0898619116429916,0.023558739658592363,-0.32406103781870094,-0.2433817629804787
600196.SH,2021-01-22,-0.09939923974710593,-0.10681962238592475,-0.10898010692217128,-0.09322792298093795,0.5749361662015176,-0.08815464086360661,0.6993074859815898
600196.SH,2021-01-25,-0.12606660486402607,-0.0948393269806764,-0.11144264376590689,-0.10556251148643914,0.19314966807198372,-0.20641630214229612,-1.0900423034430966
600196.SH,2021-01-26,-0.11336422001117591,-0.11350824560325838,-0.11928109719208303,-0.10478374889906274,0.018472485432800896,-0.31652994174592347,0.4620070025469315
600196.SH,2021-01-27,-0.12594418110711694,-0.11566334991843316,-0.12829739005023208,-0.1152332350808339,0.20164659873032362,-0.22977412602987474,-0.9551669231228093
600196.SH,2021-01-28,-0.13800379434544668,-0.12196656989136102,-0.13502234169553531,-0.1345872946513346,0.3296354158280604,-0.16541003179687674,-0.8775934726920706
600196.SH,2021-01-29,-0.1475136478297271,-0.1437983816487404,-0.15099460097190362,-0.14637851226875348,0.11149663828837653,-0.255343338079284,-0.4658632580018754
600196.SH,2021-02-01,-0.135314023635785,-0.1474577490639044,-0.14029000864842991,-0.1452744167561406,0.029546684322654677,-0.33177376528846436,0.6259076049796155
600196.SH,2021-02-02,-0.1393116806239895,-0.1378845230833323,-0.13214243961323158,-0.13803529470621337,0.13218121817396414,-0.25216561487444433,0.01296213090287062
600196.SH,2021-02-03,-0.14659558967559155,-0.14879305703879805,-0.14583796649588415,-0.14179093119326583,-0.007734559899183232,-0.29411103932496385,-0.3986169367207832
600196.SH,2021-02-04,-0.15045941541771854,-0.14282676418886153,-0.14778180676285488,-0.1389451855974079,-0.2630169738611593,-0.45428645732498585,-0.15432045748314369
600196.SH,2021-02-05,-0.13164226243394855,-0.14487628747256995,-0.13915858719549537,-0.13181637422064607,0.27972267712111315,-0.20115535975309945,1.0733870300643116
600196.SH,2021-02-08,-0.1555942428472453,-0.13259417981032026,-0.14193585516143625,-0.13470962619232127,0.14797994681230903,-0.24857436715327896,-1.2426157078077038
600196.SH,2021-02-09,-0.1597949247225624,-0.1531506405183386,-0.16193671567203693,-0.14952551654172017,-0.13185916884768703,-0.3796960794812007,-0.2120489238961728
600196.SH,2021-02-10,-0.13353951824866336,-0.15653684688265623,-0.13311113523410498,-0.15464329212740038,0.9188259221469373,0.1567994603585513,2.243783127474727
600196.SH,2021-02-18,-0.14742840242490002,-0.143565583617982,-0.15279487369667394,-0.14063174961204852,0.29227146655445857,-0.1811968472131112,-1.064970959713664
600196.SH,2021-02-19,-0.14900602724164114,-0.14765998669169564,-0.1545922744206695,-0.13995244836633955,-0.05708191275709914,-0.3760484260634033,-0.47481233822827795
600196.SH,2021-02-22,-0.13443055619396546,-0.14896246919721298,-0.15269826066921088,-0.1295899736409223,-0.22107722322397833,-0.42857004483317507,0.02462793357929091
600196.SH,2021-02-23,-0.13205630613424896,-0.12944704123809964,-0.13674389553194202,-0.1278666650518558,-0.13776826855226193,-0.3785555681190828,0.10703163003203339
600196.SH,2021-02-24,-0.12796545249135816,-0.13275655889039578,-0.1415642720802428,-0.12151595671608145,-0.20080036908779897,-0.38871583109541613,-0.05384361659725386
600196.SH,2021-02-25,-0.12593168475802632,-0.13597075042297901,-0.13556401800493373,-0.11814173201505376,-0.3374270793348261,-0.44666771490762996,-0.10179327692860377
600196.SH,2021-02-26,-0.10685245046317647,-0.1165364457247161,-0.12063687716743389,-0.10480314023931216,-0.30372101464252677,-0.4484467057320099,1.1569560354071244
600196.SH,2021-03-01,-0.11698933576437294,-0.11360348948940611,-0.12224522329485284,-0.10565985487013953,-0.339146067622093,-0.45864286134907317,-0.5332018140045484
600196.SH,2021-03-02,-0.12686802516284926,-0.12152230413354254,-0.12999215700672964,-0.11870031992047272,-0.18242971588454943,-0.3629344662030112,-0.7255365571396998
600196.SH,2021-03-03,-0.13703120673314056,-0.12626584986577116,-0.13879609597946313,-0.1292687920322171,-0.04822908997077032,-0.34095451317818026,-0.8859876223216543
600196.SH,2021-03-04,-0.13833820604374772,-0.1334252574263724,-0.13843465716358125,-0.13166932877889637,0.013090389117038966,-0.30193928871060466,-0.5229734017632324
600196.SH,2021-03-05,-0.1397226643226079,-0.1363244872210149,-0.14490165746479858,-0.13311209030054819,-0.3020575456642799,-0.41547828007660687,-0.047271617602946146
600196.SH,2021-03-08,-0.1410465557160508,-0.1422041427948136,-0.14183595888594439,-0.1410729155275214,-0.09851146003188342,-0.33856038837540225,-0.5984524349831102
600196.SH,2021-03-09,-0.13218426597043137,-0.14144899676710107,-0.14021641891021722,-0.146867249712782,-0.04080203913723468,-0.3221613871757387,0.2551980335939196
600196.SH,2021-03-10,-0.15516209601009415,-0.141646140266053,-0.14808368884168407,-0.14847878503495376,-0.12873975221351613,-0.33452147355334094,-0.9709162834783756
600196.SH,2021-03-11,-0.16179588427899622,-0.15641355880621674,-0.1662558711514044,-0.15426931229014026,-0.3261856163855646,-0.4060475890029506,-0.37163078230556257
600196.SH,2021-03-12,-0.15698353421135702,-0.16179883423948832,-0.15979423305239585,-0.1520645635576126,-0.242374852688935,-0.42132086343849434,0.14189216932887427
600196.SH,2021-03-15,-0.13376140512089815,-0.15163429289929292,-0.1445980869485125,-0.12947132125170574,-0.10699556685904647,-0.3656680552322921,0.7713405692487451
600196.SH,2021-03-16,-0.14035022903326203,-0.13748287379986976,-0.14462012365611185,-0.13733360298947464,-0.39558847122067364,-0.49666190509734137,-0.3758728763886735
600196.SH,2021-03-17,-0.14856952463683168,-0.14315586812021824,-0.15403341163407938,-0.13770160587890437,-0.46720165862908924,-0.5293893708358864,-0.2341208006445419
600196.SH,2021-03-18,-0.15182235378936357,-0.1473952926446331,-0.15442948547096091,-0.14291918723371327,-0.2310079551330706,-0.427956302421705,-0.05076851606128428
600196.SH,2021-03-19,-0.146227332226317,-0.1483597942724093,-0.15471096423330302,-0.14240007602247734,-0.43966245175662766,-0.5370152579711488,0.28510354812536143
600196.SH,2021-03-22,-0.14729253979113763,-0.14638667655741733,-0.15698546699331584,-0.1418186632708014,-0.42099014819372427,-0.4971848866884228,-0.2554434926188684
600196.SH,2021-03-23,-0.140118052062105,-0.144890852731426,-0.14521699585228812,-0.13428936553499357,-0.19566767603923998,-0.41069910518185443,0.6093927225985968
600196.SH,2021-03-24,-0.16362111690134856,-0.13974300072764173,-0.15115877852533677,-0.1701965307460823,0.4145628906956279,-0.16888265007563522,-1.4607361748807521
600196.SH,2021-03-25,-0.15188787576101853,-0.16864072363080768,-0.15626726861502557,-0.1647132740321082,0.12883308988272563,-0.25825694683680034,1.0728683310973302
600196.SH,2021-03-26,-0.1619335867643812,-0.1531412092839904,-0.16382019020354116,-0.1552672516324856,-0.2832051491749465,-0.4402377614830524,-0.4471876603112165
600196.SH,2021-03-29,-0.16482662552120256,-0.16584847544544343,-0.17068092832937487,-0.1582164546267747,-0.4890152063234005,-0.539095974111894,-0.24412670013048746
600196.SH,2021-03-30,-0.1707536001089529,-0.1645332608349315,-0.16629871640440275,-0.1627600688845473,-0.11548638145340259,-0.36543241611591637,-0.3327307748818065
600196.SH,2021-03-31,-0.15826675811679985,-0.16685307366449734,-0.1624960769715697,-0.15844397751648087,-0.16716734375076303,-0.41236802526554195,0.877294459169434
600196.SH,2021-04-01,-0.1637220639167162,-0.15622520097311188,-0.16791298169294927,-0.1540073527632627,-0.2980653062055068,-0.45966188857812446,-0.14021107341952635
600196.SH,2021-04-02,-0.16573128576890142,-0.16144797670860123,-0.16527342439010562,-0.15806483801997617,-0.16126209375292716,-0.38538590279985846,0.2981690182677178
600196.SH,2021-04-06,-0.16809329028670508,-0.16595864017177842,-0.16949931439770927,-0.1633341493351868,-0.3359494620564476,-0.4772464319782143,-0.4126574538264283
600196.SH,2021-04-07,-0.16636543226653075,-0.17365464700090927,-0.17597701381646344,-0.16185421692799343,-0.38988110277601584,-0.4586769761878212,-0.1720686719575198
600196.SH,2021-04-08,-0.1462108605016387,-0.16553328473527443,-0.14768502070281783,-0.16025006308510611,1.0190726388127649,0.025689299066894516,2.187923331068855
600196.SH,2021-04-09,-0.153620196645742,-0.14462891434969496,-0.15025819500844098,-0.14884047158463867,0.2589417099227901,-0.20411017616463478,-0.9866984150542731
