kdcode,dt,close,open,high,low,turnover,volume,OT
600346.SH,2021-01-04,-0.361083107347932,-0.36268507413107304,-0.36320454778466155,-0.3625670752525987,-0.19033736876569546,-0.22106053278049392,-0.08337583951469517
600346.SH,2021-01-05,-0.33497420753553414,-0.35520664703481947,-0.341218172796159,-0.35003648671364834,-0.04215685881166228,-0.14343431051830807,2.4204115612590744
600346.SH,2021-01-06,-0.32516288288767253,-0.3332613754238999,-0.32786469787860334,-0.3246422598871961,-0.06309211321974915,-0.18579890581056857,0.8131690823002433
600346.SH,2021-01-07,-0.32142333472299506,-0.3130826276776606,-0.31844562480458927,-0.3124342466149937,-0.10418788794642378,-0.24476855322932392,0.3442574686045078
600346.SH,2021-01-08,-0.327545345281076,-0.32283811755193553,-0.3238356129361722,-0.3242293681548134,-0.250257769471808,-0.3154326150317608,-0.6363934814787098
600346.SH,2021-01-11,-0.31383144206756824,-0.32183883657292245,-0.30983452875499695,-0.30844471466732426,-0.20351215474771825,-0.3021666992877101,0.9365838568099437
600346.SH,2021-01-12,-0.3008982402505703,-0.3114118475959269,-0.303214852418396,-0.3080897982388628,-0.2996466569489656,-0.3689381649350164,1.176260245375165
600346.SH,2021-01-13,-0.30036135532065655,-0.3017804328240109,-0.29887501086753554,-0.30271692707738185,-0.1958200141171356,-0.3197558835248899,-0.05879607923364616
600346.SH,2021-01-14,-0.29986063363557547,-0.30444806760830734,-0.2979392746833532,-0.29571662682897715,-0.3405900009393572,-0.4028340210193001,-0.05868572444035363
600346.SH,2021-01-15,-0.2850788850667788,-0.3092039303798843,-0.2952300360198799,-0.30386969553407506,-0.20645384933053995,-0.3244030623940521,1.093793791779436
600346.SH,2021-01-18,-0.25106047452486435,-0.28374209960689445,-0.25812670371593666,-0.2876003291811654,0.03935781700795457,-0.21669115642923037,2.689713577772726
600346.SH,2021-01-19,-0.2537172867962667,-0.25648429941947865,-0.2524804385863899,-0.2556860990767861,-0.007255871941812172,-0.262875005535406,-0.30412088216056093
600346.SH,2021-01-20,-0.25505386235154354,-0.2578998659500487,-0.25778877393387745,-0.25542662679948797,-0.2845917740468436,-0.3867341320517029,0.1718226723629016
600346.SH,2021-01-21,-0.2344372578164012,-0.2600292587959997,-0.23798987169798946,-0.2530676491929683,-0.06471870437108383,-0.2749150479811707,1.802714638961679
600346.SH,2021-01-22,-0.21761631495959793,-0.24154458797607734,-0.22216208239617657,-0.23051761824237907,-0.15411075055833323,-0.3550660297016312,1.2708864642747113
600346.SH,2021-01-25,-0.23042191244406793,-0.20806413832269155,-0.21806028859911403,-0.21847512579730313,-0.020255020394425362,-0.24799878746389564,-0.644199116475487
600346.SH,2021-01-26,-0.23558733049255626,-0.23444128252172977,-0.23925960033067556,-0.2428106519408454,-0.05194842813633427,-0.2569318581577519,-0.4137909677549217
600346.SH,2021-01-27,-0.22658746654660974,-0.23860129830214458,-0.23235502314486658,-0.2403622798232225,0.12898160446503962,-0.16973071533578604,0.6031980968451909
