kdcode,dt,close,open,high,low,turnover,volume,OT
600989.SH,2021-01-04,-0.5539860964115063,-0.5569992005684893,-0.5539660832856085,-0.5532412359358411,-0.6474346220082642,-0.3182961867671729,0.22654184570172023
600989.SH,2021-01-05,-0.5481648862787126,-0.5544348833135749,-0.5479795195302345,-0.5512145855125125,-0.5235508538908706,-0.069559408675807,1.1396810024751316
600989.SH,2021-01-06,-0.5405342176574326,-0.5473584362792221,-0.5424637792209406,-0.5418610671559999,-0.3412119965071804,0.22460331050176363,1.7032976899620957
600989.SH,2021-01-07,-0.5393539380924868,-0.538009167407841,-0.5406000499576528,-0.5381151920539367,-0.3038174633377471,0.20243902383813614,0.18873577416575615
600989.SH,2021-01-08,-0.5429948990280311,-0.5384393740280863,-0.5431019679098407,-0.5391996914458631,-0.5039264271108836,-0.12013020748038625,-0.10839533211159134
600989.SH,2021-01-11,-0.5335053363332046,-0.542988962264002,-0.5318239820114039,-0.5362455980725513,-0.2837946229153874,0.23600351175892156,1.0942320310021163
600989.SH,2021-01-12,-0.5351513520863992,-0.5356075727514458,-0.5336084999926937,-0.5335937905202457,-0.5101059345930278,-0.18184637140846374,-0.40208519032949347
600989.SH,2021-01-13,-0.53680017819469,-0.5369355825914248,-0.5384765421080074,-0.5357372078592201,-0.6023933037458638,-0.31518477001831274,0.060645638666376234
600989.SH,2021-01-14,-0.5442838949309279,-0.5370264272051047,-0.5420855204356396,-0.5403207848038682,-0.5819614765364325,-0.2722786105950161,-0.8747039859126696
600989.SH,2021-01-15,-0.5369797959499092,-0.5420214880871286,-0.54224331900314,-0.5398747347091176,-0.5966601483373584,-0.32048957010754964,1.103975673833914
600989.SH,2021-01-18,-0.5365262432143575,-0.5389456530228255,-0.535859521303211,-0.5401813614907948,-0.5080480934221467,-0.1658260121317314,0.24802521703676197
600989.SH,2021-01-19,-0.5364460402120657,-0.5370790582821378,-0.5378698342128545,-0.5357558335938207,-0.5528756833144214,-0.2450516142109717,0.847093847072858
600989.SH,2021-01-20,-0.5333826515946932,-0.536863863705036,-0.5314935775482151,-0.536093068557401,-0.4296790070618241,-0.06296851890299429,0.049489140946435535
600989.SH,2021-01-21,-0.5368778883479762,-0.5328141196855322,-0.5367301951495314,-0.535489252183721,-0.5507182382785795,-0.2292359190855981,-0.7408051953848636
600989.SH,2021-01-22,-0.5355481951249593,-0.5390045844831407,-0.5349047798354074,-0.5343589927426942,-0.6524369950552672,-0.3740761564639881,-0.24825454785267734
600989.SH,2021-01-25,-0.5169170221422333,-0.5355234970007202,-0.5213024478637204,-0.5301783000454864,-0.17313926150061396,0.4385102668266953,2.5652313423926403
600989.SH,2021-01-26,-0.5103559223645182,-0.5164090967766147,-0.5102979173794191,-0.5165911486419137,-0.041214446672131505,0.5232465250403681,1.9431944609877927
600989.SH,2021-01-27,-0.512223615493679,-0.5085769062418718,-0.510486726726337,-0.5109329143068638,-0.126566690918262,0.33509517852557846,0.13470623200433526
600989.SH,2021-01-28,-0.5157049316563479,-0.5111154739149205,-0.5115592329661109,-0.5141341962939614,-0.4431684948880368,-0.16019227541123673,-0.8024481717658004
600989.SH,2021-01-29,-0.5051885918510626,-0.5111890654565635,-0.5068783191427165,-0.5043560041980013,-0.3815945918359037,-0.10320103068776722,1.0417426956056892
600989.SH,2021-02-01,-0.48623704734121526,-0.5056602627247097,-0.49022990763126373,-0.5006577520844753,-0.011890861080267937,0.358824715978364,2.6852335467132105
600989.SH,2021-02-02,-0.4818107059261096,-0.48089215545443514,-0.47732746362319267,-0.48876204934734113,-0.09725589490269002,0.306038465853259,0.5126384708372984
600989.SH,2021-02-03,-0.4704809631791026,-0.48225885999373086,-0.4751671916194357,-0.478967839643255,-0.1877373209666265,0.11396676737591176,0.6426812497535217
600989.SH,2021-02-04,-0.4659739994739122,-0.46833212538970187,-0.46204739513544196,-0.4655772567998404,-0.17518886317561333,0.1054371729093455,0.6415470109518072
600989.SH,2021-02-05,-0.47648074453626443,-0.4646492298408326,-0.467263799409027,-0.47594706789208124,-0.08811929358091757,0.17827248965749032,-1.8641489821917685
600989.SH,2021-02-08,-0.4686062328130915,-0.47198153774555557,-0.4654992595680156,-0.47059816556761686,-0.12803968163429671,0.19394227588674207,1.2416224467391521
600989.SH,2021-02-09,-0.46187239253051643,-0.461242071272987,-0.46323251453092573,-0.46374470889893876,-0.22479719239882667,0.05287417407979325,1.12390282283492
600989.SH,2021-02-10,-0.4619771119971836,-0.4631846834820249,-0.46093441622956494,-0.46406198356106854,-0.3126224906465964,-0.053774824816882685,-0.30932102113201326
600989.SH,2021-02-18,-0.45169341697294574,-0.45402589233200386,-0.45174082517951986,-0.4555112123520837,-0.2173674660189808,0.009643218275106901,1.4628749309877414
600989.SH,2021-02-19,-0.4658810731923752,-0.4545292798263318,-0.45854705055363865,-0.4669937937825018,-0.09306802482324533,0.12069379717959171,-2.0445429590101045
600989.SH,2021-02-22,-0.45202225874273405,-0.4672138862890017,-0.45514615196421004,-0.4642529789389658,-0.3763315286772805,-0.23110131188455862,1.763650241919805
600989.SH,2021-02-23,-0.46927796104295416,-0.4572656845296192,-0.4623732087729814,-0.4659792328949001,-0.1228687195371671,-0.01048532169448864,-2.773365854199862
600989.SH,2021-02-24,-0.4809734900251977,-0.4676576513055345,-0.4727429531485697,-0.48046049999263335,-0.15509052418172087,0.09683793478379579,-1.067941662185756
600989.SH,2021-02-25,-0.47531278416884143,-0.4787544395025176,-0.46884566163017016,-0.4761642300660527,-0.1198005621613263,-0.007010215506743704,0.7490480051358155
600989.SH,2021-02-26,-0.47973188083314716,-0.475214707691707,-0.4778072263538913,-0.47991883847804334,-0.4328642533589586,-0.22860679423194158,-0.7184611278557542
600989.SH,2021-03-01,-0.47620801194140366,-0.47912325205267403,-0.47529689449417517,-0.4827425268846259,-0.3487121351518372,-0.1241562154547243,0.6279136049731376
600989.SH,2021-03-02,-0.5018092856526637,-0.477544015799038,-0.4821875836734254,-0.49772724543928587,0.30525614421101294,0.543552475623591,-3.1051438426110223
600989.SH,2021-03-03,-0.4992911510586292,-0.49928315996839345,-0.49702366591050035,-0.5031890346762611,-0.19235761840948135,0.001331074670182501,-0.08225498441095923
600989.SH,2021-03-04,-0.5060950857963223,-0.49930613170739463,-0.5007703336452402,-0.5051627465069097,-0.3141975848450249,-0.06614173454916283,-0.7179765461281422
600989.SH,2021-03-05,-0.50782716970427,-0.5008028088191263,-0.5027720074118895,-0.5041707501302601,-0.24892479406821064,-0.00011077504212905916,-0.5553461579180958
600989.SH,2021-03-08,-0.5029100173888279,-0.49965104181268427,-0.49275574889205775,-0.5012768914683948,-0.013057114884934403,0.2109223653717594,1.1599300166239173
600989.SH,2021-03-09,-0.5081414147944977,-0.5025878327343241,-0.5050470578194324,-0.5098803997132729,-0.2576049746690934,0.0190259692690342,-1.1590735108172334
600989.SH,2021-03-10,-0.5032031115860074,-0.5060256018297428,-0.5042719289938453,-0.5045288105940499,-0.3599745724094165,-0.06493186421756629,-0.031419133679958
600989.SH,2021-03-11,-0.488723836679322,-0.4962772929202656,-0.4860623292121205,-0.4976819509834329,-0.08390056732803033,0.15344164847157887,1.9887684922258926
600989.SH,2021-03-12,-0.4788206022801759,-0.48535899775253477,-0.47996936791889794,-0.4806007423497317,-0.1343457044019062,0.008285929327391875,1.521842874286514
600989.SH,2021-03-15,-0.48515425088643677,-0.47678496041634844,-0.48026340969646225,-0.48820898446567634,-0.3756322770566293,-0.17894064263865286,-0.4960442679693645
600989.SH,2021-03-16,-0.46572778476542487,-0.48582924761934654,-0.46908561740283655,-0.4806823737479079,0.2259650588732108,0.35678811489724566,3.047598724567756
600989.SH,2021-03-17,-0.47436091511224077,-0.4666938597323169,-0.47300700372851695,-0.4734652996815256,-0.17296456290758064,0.0281634406708658,-1.0311364880944645
600989.SH,2021-03-18,-0.4575789472502171,-0.474001229872384,-0.4592170678060493,-0.4745226982872136,0.27640934000117906,0.5083319895763949,3.015675556132688
600989.SH,2021-03-19,-0.4626422741848913,-0.4620163783706718,-0.46596978880467776,-0.46379533595985983,-0.026922925452569607,0.11026997745493433,-0.6838096316490602
600989.SH,2021-03-22,-0.4735285915882907,-0.46402052651249875,-0.47023917478094873,-0.4724090589169808,-0.12993258583702347,-0.014405411009237349,-1.706905162462065
600989.SH,2021-03-23,-0.48251182769163653,-0.4739121593904881,-0.4761805847162351,-0.48368355292424214,-0.19464307093014716,-0.025602008685254213,-1.3650156727427218
600989.SH,2021-03-24,-0.492590972169497,-0.48596164188493096,-0.48727584310959166,-0.49338234090701255,0.07173719323503684,0.3266989051640612,-2.2703624101620226
